# PROVENANCE (2026-08-05): recomputed from the ORIGINAL MLIP-MD trajectory
#   runs/modelC_v3/aimd/T600/traj.traj (1000 frames, prod 100 ps, dt 2 fs, save 100 fs,
#   equilib 10 ps excluded; 62 atoms / 27 Li; V 1216.38 A^3; D(Li) 7.901e-6 cm2/s).
#   The folder is named "aimd" but this is MLIP-MD, not DFT-AIMD: 110 ps of a 62-atom cell
#   in 93.9 min (~0.10 s/step) - DFT would need weeks. Label figures "MLIP-MD".
# NOMENCLATURE (literature standard): the map is the POTENTIAL OF MEAN FORCE (PMF),
#   dF(r) = -kB*T*ln[rho(r)/rho_max]; the percolation threshold is the PERCOLATION FREE
#   ENERGY dF_perc (paired with the bond-valence side's dE_perc); segment values are
#   FREE-ENERGY BARRIERS dF. A bare "F" is avoided (F = force in MD literature) and so is
#   the star notation F*.
# TWO DEFINITIONS: first-spanning dF_perc = 0.0782 eV (a 1.4% thin filament, NOT adopted)
#   vs TRANSITION (largest-cluster steepest rise) dF_perc = 0.1725 eV (ADOPTED, = 0.17).
# REPRODUCTION: this independent pipeline (26-connectivity winding percolation) returns
#   0.1725 eV, matching the registered curve docs/figures/elf_licl/
#   percolation_comp1_modelc_EXACT.csv recomputed the same way (0.1725).
# CONVERGENCE (block test): transition dF_perc = 0.1725 (full 100 ps) / 0.1875 (first 50 ps)
#   / 0.1675 (second 50 ps) / 0.1825 (first 25 ps) -> +-10 meV. First-spanning by contrast
#   swings to 0.1052 at 25 ps (+35%). => the transition definition is converged at
#   1 seed x 100 ps; first-spanning is not.
# SINGLE SEED, T = 600 K. dF_perc is a FREE ENERGY AT THIS TEMPERATURE, not Ea
#   (measured offset dF_perc - Ea ~ -50 meV, systematic).
# Potential-of-mean-force (PMF) percolation-path profile - LPSCl1.6, T = 600 K, dF_perc = 0.1725 eV, axis [010].
# F(r) = -kB*T*ln(rho/rho_max) from the time-averaged Li density (1 trajectory/ies summed).
# Same conventions as the BV figures (26-connectivity percolation, min-energy-line-integral path, PBC-unwrapped mesh metric).
# WARNING: dF_perc is a FREE ENERGY AT THIS TEMPERATURE, not Ea. Sampling-limited if the trajectory is short - use only for beta-gate-passing systems.
d_A,dF_eV
0.000,-0.0000
0.357,0.0042
0.563,0.0131
0.769,0.0290
0.975,0.0516
1.181,0.0806
1.387,0.1145
1.594,0.1457
1.800,0.1519
2.006,0.1273
2.212,0.0952
2.418,0.0671
2.624,0.0452
2.624,0.0298
2.977,0.0202
3.330,0.0202
3.531,0.0214
3.732,0.0201
3.934,0.0161
4.287,0.0106
4.639,0.0121
4.928,0.0238
5.134,0.0349
5.340,0.0472
5.546,0.0561
5.752,0.0580
5.958,0.0533
6.164,0.0461
6.370,0.0399
6.576,0.0369
6.780,0.0374
6.984,0.0439
7.188,0.0484
7.391,0.0438
7.595,0.0331
7.799,0.0216
8.003,0.0116
8.209,0.0037
8.413,-0.0000
